city,state,avg_price
International,California,"$2,147,483,600.00"
Avon,Montana,"$24,750,000.00"
Big Sandy,Montana,"$17,450,000.00"
Golden Beach,Florida,"$15,108,333.33"
Sagaponack,New York,"$11,814,500.00"
Olney,Montana,"$11,500,000.00"
Wise River,Montana,"$11,300,000.00"
Bellevue,Texas,"$10,034,750.00"
Kattskill Bay,New York,"$10,000,000.00"
Parmelee,South Dakota,"$9,154,500.00"
Manalapan,Florida,"$8,533,571.29"
Venango,Nebraska,"$8,485,000.00"
Jupiter Inlet Colony,Florida,"$8,411,000.00"
Thompson Ridge,New York,"$7,734,750.00"
White Oaks Flat Road,North Carolina,"$7,500,000.00"
Springdale,Montana,"$7,250,000.00"
Chilmark,Massachusetts,"$7,200,000.00"
West Glacier,Montana,"$7,000,000.00"
Eastville,Virginia,"$6,624,000.00"
Logan,West Virginia,"$6,577,347.06"
Cohagen,Montana,"$6,400,000.00"
Bridgehampton,New York,"$6,169,603.41"
Big Torch,Florida,"$5,999,000.00"
Sherwood,Maryland,"$5,650,000.00"
Micanopy,Florida,"$5,514,587.33"
Gulliver,Michigan,"$5,483,500.00"
Fisher Island,Florida,"$5,346,875.00"
Westover Hills,Texas,"$5,250,000.00"
Palm Beach,Florida,"$5,076,353.33"
Sea Island,Georgia,"$5,064,166.67"
Watermill,New York,"$5,047,500.00"
Huntleigh,Missouri,"$4,975,000.00"
Alys Beach,Florida,"$4,970,346.11"
Hope,Idaho,"$4,829,800.00"
Amagansett,New York,"$4,741,869.52"
Adams Run,South Carolina,"$4,724,666.67"
Lodge Grass,Montana,"$4,670,000.00"
Witter,Arkansas,"$4,500,000.00"
T10 Sd,Maine,"$4,300,000.00"
Gallatin Gateway,Montana,"$4,284,916.67"
Water Mill,New York,"$4,252,769.22"
Golden City,Missouri,"$4,225,000.00"
Westhampton Dunes,New York,"$4,195,000.00"
Loch Arbour Village,New Jersey,"$4,174,500.00"
Westlake,Texas,"$4,148,725.00"
Nantucket,Massachusetts,"$4,132,240.65"
White Oak,North Carolina,"$4,064,500.00"
Ellenboro,West Virginia,"$3,999,000.00"
Lake Success,New York,"$3,998,888.00"
Craig,Montana,"$3,995,000.00"
Montauk,New York,"$3,915,888.82"
Captiva,Florida,"$3,903,115.39"
Sullivans Island,South Carolina,"$3,902,142.86"
Bal Harbour,Florida,"$3,873,458.33"
Cisco,Georgia,"$3,850,000.00"
Cross River,New York,"$3,850,000.00"
North Haven,Maine,"$3,812,500.00"
New Marlborough,Massachusetts,"$3,798,400.00"
Anna Maria,Florida,"$3,762,413.89"
Wainscott,New York,"$3,717,357.14"
Wisdom,Montana,"$3,712,500.00"
Claryville,New York,"$3,699,000.00"
Big Sky,Montana,"$3,688,914.41"
Laurel Hollow,New York,"$3,686,000.00"
Deal,New Jersey,"$3,678,285.57"
Highland Park,Texas,"$3,628,770.00"
Fairfax,South Dakota,"$3,569,500.00"
Boca Grande,Florida,"$3,561,514.29"
Quogue,New York,"$3,554,264.35"
Centre Island,New York,"$3,528,000.00"
Long Key,Florida,"$3,508,500.00"
Southwest Harbor,Maine,"$3,506,666.67"
Carey,Idaho,"$3,500,000.00"
Hyannis Port,Massachusetts,"$3,498,500.00"
Village of Islands,Florida,"$3,411,250.00"
Atlantic Beach,New York,"$3,398,900.00"
Midtown,Massachusetts,"$3,354,222.22"
Wanblee,South Dakota,"$3,352,800.00"
Scenic,South Dakota,"$3,350,000.00"
Quiogue,New York,"$3,350,000.00"
Helmville,Montana,"$3,319,500.00"
Sag Harbor,New York,"$3,291,956.19"
Edgartown,Massachusetts,"$3,255,666.64"
Friendship,Maine,"$3,250,000.00"
Mill Neck,New York,"$3,244,500.00"
Troy White Dr,Montana,"$3,200,000.00"
New Castle,New Hampshire,"$3,200,000.00"
Upper Brookville,New York,"$3,159,600.00"
Minnetonka Beach,Minnesota,"$3,149,950.00"
Ocean Bay Park,New York,"$3,149,499.50"
Village Of Golf,Florida,"$3,147,500.00"
McLeod,Montana,"$3,126,500.00"
Rosemary Beach,Florida,"$3,104,375.00"
Lavina,Montana,"$3,100,000.00"
Riverside,Connecticut,"$3,074,285.71"
East Hampton,New York,"$3,033,445.38"
Alpine,New Jersey,"$3,023,750.00"
Sands Point,New York,"$3,016,750.00"
Harford,Pennsylvania,"$2,999,000.00"
Culebra,Puerto Rico,"$2,981,200.00"
Maynard,Arkansas,"$2,950,000.00"
Point Washington,Florida,"$2,949,950.00"
Wittman,Maryland,"$2,945,000.00"
Drummond,Montana,"$2,942,500.00"
New York,New York,"$2,926,202.09"
Shelter Island,New York,"$2,907,967.74"
Kiawah Island,South Carolina,"$2,870,542.25"
Spring Lake,New Jersey,"$2,869,991.58"
Key Biscayne,Florida,"$2,857,587.15"
Remsenburg,New York,"$2,857,368.42"
Huson,Montana,"$2,856,225.00"
Vineyard Haven,Massachusetts,"$2,852,404.55"
Southampton,New York,"$2,850,150.30"
Dorado,Puerto Rico,"$2,831,493.89"
Fire Island Pines,New York,"$2,800,000.00"
Stone Harbor,New Jersey,"$2,799,965.48"
Gulf Stream,Florida,"$2,787,800.00"
Sea Ranch Lakes,Florida,"$2,787,600.00"
Hewlett Bay Park,New York,"$2,758,333.33"
Lovell,Maine,"$2,750,000.00"
Roslyn Harbor,New York,"$2,750,000.00"
Bedford Corners,New York,"$2,744,900.00"
Emigrant,Montana,"$2,732,250.00"
Mantoloking,New Jersey,"$2,730,853.54"
Oyster Bay Cove,New York,"$2,654,888.89"
Neavitt,Maryland,"$2,650,000.00"
Avalon,New Jersey,"$2,647,087.50"
Elberon,New Jersey,"$2,637,874.88"
Harbert,Michigan,"$2,637,500.00"
Primm Springs,Tennessee,"$2,633,333.33"
Old Brookville,New York,"$2,630,698.14"
Westhampton Beach,New York,"$2,611,617.29"
Westby,Wisconsin,"$2,600,000.00"
Park Hall,Maryland,"$2,597,000.00"
